Date,Open,High,Low,Close,Adj Close,Volume
2002-05-01,1.156429,1.242857,1.071429,1.076429,1.076429,147880600
2002-06-01,1.080000,1.232143,0.842143,0.999286,0.999286,74190200
2002-07-01,1.000000,1.299286,0.850000,0.953571,0.953571,73610600
2002-08-01,0.950000,0.999286,0.706429,0.936429,0.936429,64883000
2002-09-01,0.936429,0.976429,0.689286,0.692857,0.692857,55749400
2002-10-01,0.709286,0.735714,0.346429,0.640714,0.640714,169148000
2002-11-01,0.628571,0.800000,0.553571,0.775000,0.775000,101967600
2002-12-01,0.742857,0.928571,0.684286,0.786429,0.786429,95100600
2003-01-01,0.846429,0.956429,0.762143,0.942857,0.942857,115997000
2003-02-01,0.938571,1.228571,0.824286,1.222143,1.222143,129178000
2003-03-01,1.207857,1.595000,1.064286,1.453571,1.453571,243329800
2003-04-01,1.464286,1.763571,1.325714,1.628571,1.628571,336562800
2003-05-01,1.619286,1.852143,1.466429,1.607143,1.607143,283290000
2003-06-01,1.607857,1.882143,1.289286,1.825000,1.825000,475367200
2003-07-01,1.828571,2.042857,1.610714,1.871429,1.871429,299930400
2003-08-01,1.851429,2.412857,1.614286,2.380714,2.380714,213253600
2003-09-01,2.373571,2.874286,2.172857,2.397143,2.397143,359199400
2003-10-01,2.385714,4.357143,2.385714,4.092857,4.092857,711555600
2003-11-01,4.099286,4.325000,3.155714,3.500000,3.500000,607833800
2003-12-01,3.530000,4.230714,3.075000,3.906429,3.906429,480523400
2004-01-01,4.107143,5.681428,3.842143,5.243571,5.243571,932327200
2004-02-01,5.300000,5.639286,4.322857,4.914286,4.914286,727418300
2004-03-01,4.907143,5.065714,3.952857,4.874286,4.874286,417452700
2004-04-01,5.155715,5.517143,3.595714,3.622857,3.622857,482976900
2004-05-01,3.614286,4.752857,3.612857,4.702857,4.702857,285411700
2004-06-01,4.627143,5.224286,4.050000,5.142857,5.142857,258797700
2004-07-01,5.100000,5.152857,2.642857,2.928571,2.928571,578550700
2004-08-01,2.834286,2.914286,1.978571,1.992857,1.992857,290639300
2004-09-01,2.001429,2.585714,1.982857,2.202857,2.202857,341873000
2004-10-01,2.492857,2.800000,1.321429,1.352857,1.352857,959910700
2004-11-01,1.354286,1.754286,1.335714,1.625714,1.625714,404514600
2004-12-01,1.631429,1.974286,1.578571,1.761429,1.761429,372483300
2005-01-01,1.800000,1.874286,1.504286,1.642857,1.642857,275782500
2005-02-01,1.631429,1.742857,1.430000,1.528571,1.528571,158103400
2005-03-01,1.528571,1.578571,1.272857,1.550000,1.550000,168671300
2005-04-01,1.557143,1.857143,1.501429,1.650000,1.650000,179357500
2005-05-01,1.647143,2.752857,1.617143,2.041429,2.041429,409696700
2005-06-01,2.028571,2.548571,2.028571,2.344286,2.344286,176552600
2005-07-01,2.342857,2.971429,2.285714,2.651428,2.651428,220176600
2005-08-01,2.670000,3.248571,2.607143,3.080000,3.080000,236261200
2005-09-01,3.080000,3.807143,3.035714,3.712857,3.712857,190140300
2005-10-01,3.711429,4.212857,3.401428,3.772857,3.772857,257765200
2005-11-01,3.720000,4.321429,3.632857,3.934286,3.934286,198991100
2005-12-01,3.964286,4.010000,3.220000,3.865714,3.865714,208978700
2006-01-01,3.865714,4.274286,3.298571,3.935714,3.935714,311671500
2006-02-01,3.907143,3.928571,3.427143,3.830000,3.830000,168249200
2006-03-01,3.830000,4.200000,3.521429,4.141428,4.141428,138239500
2006-04-01,4.141428,4.731429,3.838571,4.234286,4.234286,217534100
2006-05-01,4.265714,4.597143,3.831429,3.955714,3.955714,153080200
2006-06-01,3.945714,4.108572,3.685714,3.887143,3.887143,176180900
2006-07-01,3.908571,3.937143,2.655714,2.955714,2.955714,307771100
2006-08-01,2.962857,3.107143,2.588571,2.860000,2.860000,207146800
2006-09-01,2.861428,3.371428,2.842857,3.254286,3.254286,158326700
2006-10-01,3.255714,4.057143,3.135714,3.951429,3.951429,268089500
2006-11-01,3.958571,4.284286,3.742857,4.182857,4.182857,144181100
2006-12-01,4.195714,4.285714,3.692857,3.694286,3.694286,112856800
2007-01-01,3.714286,3.828571,3.042857,3.258571,3.258571,390207300
2007-02-01,3.268571,3.411429,3.071429,3.218571,3.218571,266588000
2007-03-01,3.194286,3.407143,2.900000,3.312857,3.312857,198450700
2007-04-01,3.328571,3.570000,2.982857,3.167143,3.167143,232420300
2007-05-01,3.161429,3.350000,3.031429,3.128572,3.128572,162470700
2007-06-01,3.120000,3.712857,2.721429,2.770000,2.770000,349528900
2007-07-01,2.785714,2.977143,2.231429,2.461429,2.461429,311795400
2007-08-01,2.464286,2.638572,2.357143,2.502857,2.502857,178716300
2007-09-01,2.568571,3.157143,2.438571,2.964286,2.964286,162752800
2007-10-01,2.957143,3.800000,2.941429,3.781429,3.781429,230914600
2007-11-01,3.781429,3.930000,3.037143,3.300000,3.300000,180742800
2007-12-01,3.428571,4.162857,3.215714,3.802857,3.802857,171805900
2008-01-01,3.794286,4.042857,2.907143,3.592857,3.592857,365727600
2008-02-01,3.544286,4.901429,3.510000,4.511428,4.511428,265449100
2008-03-01,4.535714,5.664286,4.307143,4.950000,4.950000,254607500
2008-04-01,5.071429,5.842857,4.207143,4.568572,4.568572,309614200
2008-05-01,4.524286,4.907143,4.222857,4.337143,4.337143,230462400
2008-06-01,4.334286,4.857143,3.720000,3.724286,3.724286,154634200
2008-07-01,3.828571,4.481429,3.770000,4.412857,4.412857,281817200
2008-08-01,4.364286,4.652857,4.120000,4.405715,4.405715,185192000
2008-09-01,4.452857,4.852857,3.924286,4.411428,4.411428,193049500
2008-10-01,4.332857,4.428571,2.557143,3.537143,3.537143,247455600
2008-11-01,3.502857,3.544286,2.604286,3.282857,3.282857,143607100
2008-12-01,3.171429,4.337143,3.112857,4.270000,4.270000,169197700
2009-01-01,4.217143,5.414286,4.111429,5.162857,5.162857,260673700
2009-02-01,5.080000,5.547143,4.972857,5.177143,5.177143,282784600
2009-03-01,5.057143,6.345714,4.858572,6.131429,6.131429,333674600
2009-04-01,6.111429,7.177143,6.011428,6.472857,6.472857,321716500
2009-05-01,6.464286,6.547143,5.178571,5.631429,5.631429,261216200
2009-06-01,5.712857,6.115714,5.292857,5.905715,5.905715,274967700
2009-07-01,5.940000,6.812857,5.418571,6.277143,6.277143,263793600
2009-08-01,6.335714,6.667143,6.072857,6.232857,6.232857,152079200
2009-09-01,6.170000,6.885714,5.610000,6.595714,6.595714,188352500
2009-10-01,6.535714,8.214286,6.328571,7.635714,7.635714,221109700
2009-11-01,7.597143,8.807143,7.514286,8.375714,8.375714,166483100
2009-12-01,8.215714,8.542857,7.571429,7.870000,7.870000,177149000
2010-01-01,7.931428,9.224286,6.931428,8.892858,8.892858,324109100
2010-02-01,8.830000,9.614285,8.468572,9.435715,9.435715,214988200
2010-03-01,9.431429,10.807143,9.374286,10.534286,10.534286,190620500
2010-04-01,10.517143,15.671429,10.517143,14.128572,14.128572,482079500
2010-05-01,14.280000,17.071428,12.857142,15.878572,15.878572,533838900
2010-06-01,15.608571,18.280001,14.970000,15.521428,15.521428,509514600
2010-07-01,15.542857,17.714285,13.618571,14.650000,14.650000,541076200
2010-08-01,14.860000,20.128571,14.104285,17.931429,17.931429,863219000
2010-09-01,18.695715,24.914286,18.444286,23.165714,23.165714,853066900
2010-10-01,22.942858,26.391428,21.049999,24.795713,24.795713,873340300
2010-11-01,24.850000,29.542856,23.367144,29.414286,29.414286,749615300
2010-12-01,29.688572,29.891428,25.075714,25.100000,25.100000,991371500
2011-01-01,25.000000,31.142857,24.785715,30.582857,30.582857,761392100
2011-02-01,30.661428,35.364285,29.000000,29.524286,29.524286,736982400
2011-03-01,29.457144,34.595715,26.984285,33.968571,33.968571,988351700
2011-04-01,34.428570,36.425713,32.058571,33.238571,33.238571,783979700
2011-05-01,34.031429,38.685715,32.185715,38.685715,38.685715,678188000
2011-06-01,38.495716,39.671429,34.302856,37.527142,37.527142,613475800
2011-07-01,37.437141,43.541428,35.922855,37.998573,37.998573,716726500
2011-08-01,38.362858,38.500000,29.049999,33.572857,33.572857,640584700
2011-09-01,33.504284,34.071430,15.375714,16.181429,16.181429,1679588400
2011-10-01,16.448572,18.357143,10.607142,11.725715,11.725715,1691083100
2011-11-01,11.444285,13.405714,8.910000,9.218572,9.218572,1053461500
2011-12-01,9.202857,11.084286,9.142858,9.898571,9.898571,842035600
2012-01-01,10.040000,18.497143,10.018572,17.171429,17.171429,1829322600
2012-02-01,17.344286,19.061428,15.234285,15.818571,15.818571,1002673700
2012-03-01,15.585714,17.639999,14.647142,16.434286,16.434286,814660700
2012-04-01,16.400000,16.400000,11.394286,11.448571,11.448571,842254000
2012-05-01,11.470000,11.854285,8.910000,9.062857,9.062857,788860800
2012-06-01,8.707143,10.068571,8.671429,9.784286,9.784286,499411500
2012-07-01,9.824286,12.378572,8.020000,8.121428,8.121428,988045100
2012-08-01,8.204286,9.521428,7.544286,8.531428,8.531428,601008800
2012-09-01,8.285714,8.774285,7.578571,7.777143,7.777143,639131500
2012-10-01,7.800000,12.135715,7.762857,11.320000,11.320000,1114314600
2012-11-01,11.121428,12.080000,10.642858,11.672857,11.672857,498027600
2012-12-01,11.692857,13.971429,10.642858,13.227143,13.227143,598236100
2013-01-01,13.601429,25.321428,12.955714,23.605715,23.605715,991909100
2013-02-01,24.285715,28.231428,23.254286,26.868572,26.868572,755571600
2013-03-01,26.730000,28.151428,25.165714,27.040001,27.040001,520408700
2013-04-01,27.278572,32.042858,22.714285,30.867144,30.867144,854536200
2013-05-01,30.845715,35.549999,29.145714,32.321430,32.321430,536788000
2013-06-01,32.435715,33.697144,29.392857,30.155714,30.155714,412636700
2013-07-01,30.517143,38.615715,30.285715,34.925713,34.925713,542920700
2013-08-01,35.220001,41.461430,34.482857,40.558571,40.558571,416838800
2013-09-01,41.061428,45.770000,40.650002,44.172855,44.172855,386857800
2013-10-01,44.967144,55.594284,40.400002,46.068573,46.068573,840456400
2013-11-01,46.975716,52.542858,46.450001,52.257141,52.257141,343557900
2013-12-01,52.125713,54.851429,50.285713,52.595715,52.595715,313308800
2014-01-01,52.401428,58.914288,45.581429,58.475716,58.475716,600418700
2014-02-01,58.842857,65.398575,56.715714,63.661430,63.661430,317384200
2014-03-01,63.027142,65.428574,49.982857,50.290001,50.290001,377239800
2014-04-01,50.250000,54.411430,42.785713,46.005714,46.005714,648605300
2014-05-01,46.292858,60.248573,44.908573,59.689999,59.689999,523837300
2014-06-01,59.925713,64.402855,58.928570,62.942856,62.942856,352660000
2014-07-01,65.175713,67.981430,59.788570,60.388573,60.388573,429839200
2014-08-01,60.251427,69.328575,58.930000,68.234283,68.234283,274274000
2014-09-01,68.357140,69.898575,62.697144,64.454285,64.454285,268345700
